entity_id,entity_type,self_attestation_bias,incentive_alignment_bias,regulatory_capture_risk,publication_bias,benchmark_overfitting_bias,evaluation_leakage_bias,distribution_shift_bias,obfuscation_risk
S2-T3-01,governance,1,1,2,1,,,,
S2-T3-02,governance,1,1,1,2,,,,
S2-T3-03,governance,1,1,2,1,,,,
S2-T3-04,governance,1,1,2,1,,,,
S2-T3-05,governance,1,1,1,2,,,,
S2-T3-06,governance,1,1,1,2,,,,
S2-T3-07,governance,1,1,1,2,,,,
S2-T3-08,governance,1,1,1,2,,,,
S2-T3-09,governance,1,1,1,2,,,,
S2-T3-10,governance,1,1,1,2,,,,
S2-T3-11,governance,1,1,1,2,,,,
S2-T3-12,governance,1,1,1,2,,,,
S2-T3-13,governance,1,1,1,2,,,,
S2-T3-14,governance,1,1,1,2,,,,
S2-T3-15,governance,1,1,1,2,,,,
S2-T3-16,governance,1,1,1,2,,,,
S2-T3-17,governance,1,1,1,2,,,,
S2-T3-18,governance,1,1,1,2,,,,
S2-T3-19,governance,1,1,1,2,,,,
S2-T3-20,governance,1,1,1,2,,,,
S2-T3-21,governance,1,1,1,2,,,,
S2-T3-22,governance,1,1,2,1,,,,
S2-T3-23,governance,1,1,2,1,,,,
S2-T3-24,governance,1,1,2,1,,,,
S2-T3-25,governance,1,1,2,1,,,,
S2-T3-26,governance,3,2,1,2,,,,
S2-T3-27,governance,3,2,1,2,,,,
S2-T3-28,governance,3,2,1,2,,,,
S2-T3-29,governance,3,2,1,2,,,,
S2-T3-30,governance,3,2,1,2,,,,
S2-T3-31,governance,3,2,1,2,,,,
S2-T3-32,governance,3,2,1,2,,,,
S2-T3-33,governance,3,2,1,2,,,,
S2-T3-34,governance,3,2,1,2,,,,
S2-T3-35,governance,3,2,1,2,,,,
S2-T3-36,governance,3,2,1,2,,,,
S2-T3-37,governance,1,1,1,2,,,,
S2-T3-38,governance,1,1,1,2,,,,
S2-T3-39,governance,1,1,1,2,,,,
S2-T3-40,governance,3,2,1,2,,,,
S2-T3-41,governance,3,2,1,2,,,,
S2-T3-42,governance,3,2,1,2,,,,
S2-T3-43,governance,3,2,1,2,,,,
S2-T3-44,governance,3,2,1,2,,,,
S2-T3-45,governance,3,2,1,2,,,,
S2-T3-46,governance,1,1,1,2,,,,
S2-T3-47,governance,3,2,1,2,,,,
S2-T3-48,governance,1,1,1,2,,,,
S2-T3-49,governance,1,1,1,2,,,,
S2-T3-50,governance,1,1,1,2,,,,
S2-T3-51,governance,1,1,1,2,,,,
S2-T3-52,governance,1,1,1,2,,,,
S2-T3-53,governance,1,1,1,2,,,,
S2-T3-54,governance,3,2,1,2,,,,
S2-T3-55,governance,1,1,1,2,,,,
S2-T3-56,governance,1,1,1,2,,,,
S2-T3-57,governance,1,1,1,2,,,,
S2-T3-58,governance,1,1,2,1,,,,
S2-T3-59,governance,1,1,1,2,,,,
S2-T3-60,governance,1,1,1,2,,,,
S2-T3-61,governance,1,1,1,2,,,,
S2-T3-62,governance,1,1,1,2,,,,
S2-T3-63,governance,1,1,1,2,,,,
S2-T3-64,governance,1,1,1,2,,,,
S2-T3-65,governance,1,1,1,2,,,,
S2-T3-66,governance,1,1,1,2,,,,
S2-T3-67,governance,1,1,1,2,,,,
S2-T3-68,governance,1,1,1,2,,,,
S2-T3-69,governance,1,1,1,2,,,,
S2-T3-70,governance,3,2,1,2,,,,
S2-T3-71,governance,3,2,1,2,,,,
S2-T3-72,governance,3,2,1,2,,,,
S2-T3-73,governance,1,1,1,2,,,,
S2-T3-74,governance,1,1,1,2,,,,
S2-T3-75,governance,1,1,1,2,,,,
S2-T3-76,governance,1,1,1,2,,,,
S2-T3-77,governance,1,1,1,2,,,,
S2-T3-78,governance,1,1,1,2,,,,
S2-T3-79,governance,3,2,1,2,,,,
S2-T3-80,governance,1,1,1,2,,,,
S2-T3-81,governance,1,1,1,2,,,,
S2-T3-82,governance,1,1,1,2,,,,
S2-T3-83,governance,3,2,1,2,,,,
S2-T3-84,governance,3,2,1,2,,,,
S2-T3-85,governance,3,2,1,2,,,,
S2-T3-86,governance,1,1,1,2,,,,
S2-T3-87,governance,1,1,1,2,,,,
S2-T3-88,governance,1,1,1,2,,,,
S2-T3-89,governance,1,1,1,2,,,,
S2-T3-90,governance,3,2,1,2,,,,
S2-T3-91,governance,3,2,1,2,,,,
S2-T3-92,governance,3,2,1,2,,,,
S2-T3-93,governance,3,2,1,2,,,,
S2-T3-94,governance,3,2,1,2,,,,
S2-T3-95,governance,3,2,1,2,,,,
S2-T3-96,governance,1,1,1,2,,,,
S2-T3-97,governance,1,1,1,2,,,,
S2-T3-98,governance,1,1,1,2,,,,
S2-T3-99,governance,1,1,1,2,,,,
S2-T3-100,governance,1,1,1,2,,,,
T-EGM-001,technical,,,,2,2,2,3,2
T-EGM-002,technical,,,,2,2,3,2,2
T-EGM-003,technical,,,,2,2,3,2,2
T-EGM-004,technical,,,,2,2,3,3,2
T-EGM-005,technical,,,,2,2,3,3,2
T-EGM-006,technical,,,,2,2,2,3,2
T-EGM-007,technical,,,,2,2,2,3,2
T-EGM-008,technical,,,,2,2,3,3,2
T-EGM-009,technical,,,,2,2,3,3,3
T-EGM-010,technical,,,,2,2,3,3,3
T-EGM-011,technical,,,,2,3,3,2,2
T-EGM-012,technical,,,,2,2,3,3,2
T-EGM-013,technical,,,,2,2,3,3,2
T-EGM-014,technical,,,,2,2,3,3,2
T-EGM-015,technical,,,,2,2,3,3,2
T-EGM-016,technical,,,,2,3,3,2,2
T-EGM-017,technical,,,,2,2,3,2,2
T-EGM-018,technical,,,,2,2,3,2,2
T-EGM-019,technical,,,,2,2,3,3,2
T-EGM-020,technical,,,,2,2,3,2,2
T-EGM-021,technical,,,,2,2,3,3,2
T-EGM-022,technical,,,,2,2,3,3,2
T-EGM-023,technical,,,,2,2,3,3,2
T-EGM-024,technical,,,,2,2,3,2,2
T-EGM-025,technical,,,,2,3,3,2,2
T-EGM-026,technical,,,,2,2,3,3,2
T-EGM-027,technical,,,,2,2,3,2,2
T-EGM-028,technical,,,,2,2,3,3,2
T-EGM-029,technical,,,,2,2,3,3,2
T-EGM-030,technical,,,,2,2,3,2,2
T-EGM-031,technical,,,,2,2,3,2,2
T-EGM-032,technical,,,,2,2,3,2,2
T-EGM-033,technical,,,,2,2,3,3,2
T-EGM-034,technical,,,,2,2,3,3,2
T-EGM-035,technical,,,,2,2,3,3,2
T-EGM-036,technical,,,,2,2,3,3,2
T-EGM-037,technical,,,,2,2,3,3,2
T-EGM-038,technical,,,,2,2,3,3,2
T-EGM-039,technical,,,,2,2,3,3,2
T-EGM-040,technical,,,,2,2,3,3,2
T-EGM-041,technical,,,,2,2,3,3,2
T-EGM-042,technical,,,,2,3,3,2,2
T-EGM-043,technical,,,,2,2,3,3,2
T-EGM-044,technical,,,,2,2,3,3,2
T-EGM-045,technical,,,,2,2,3,3,2
