entity_id,entity_type,reproducibility,adversarial_robustness,independent_verification,ecological_validity,gaming_susceptibility,eqs_score
S2-T3-01,governance,2,1,3,2,1,1.75
S2-T3-02,governance,2,1,3,2,1,1.75
S2-T3-03,governance,2,1,3,2,1,1.75
S2-T3-04,governance,2,1,3,2,1,1.75
S2-T3-05,governance,2,1,3,2,1,1.75
S2-T3-06,governance,2,1,3,2,1,1.75
S2-T3-07,governance,2,1,3,2,1,1.75
S2-T3-08,governance,2,1,3,2,1,1.75
S2-T3-09,governance,2,1,3,2,1,1.75
S2-T3-10,governance,2,1,3,2,1,1.75
S2-T3-11,governance,2,1,3,2,1,1.75
S2-T3-12,governance,2,1,3,2,1,1.75
S2-T3-13,governance,2,1,3,2,1,1.75
S2-T3-14,governance,1,1,3,2,1,1.5
S2-T3-15,governance,2,1,3,2,1,1.75
S2-T3-16,governance,2,1,3,2,1,1.75
S2-T3-17,governance,2,1,3,2,1,1.75
S2-T3-18,governance,1,1,3,2,1,1.5
S2-T3-19,governance,1,1,3,2,1,1.5
S2-T3-20,governance,2,1,3,2,1,1.75
S2-T3-21,governance,2,1,3,2,1,1.75
S2-T3-22,governance,2,1,3,2,1,1.75
S2-T3-23,governance,2,1,3,2,1,1.75
S2-T3-24,governance,2,1,3,2,1,1.75
S2-T3-25,governance,2,1,3,2,1,1.75
S2-T3-26,governance,2,1,1,2,2,1.15
S2-T3-27,governance,2,1,1,2,2,1.15
S2-T3-28,governance,2,1,1,2,2,1.15
S2-T3-29,governance,2,1,1,2,2,1.15
S2-T3-30,governance,2,1,1,2,2,1.15
S2-T3-31,governance,2,1,1,2,2,1.15
S2-T3-32,governance,2,1,1,2,2,1.15
S2-T3-33,governance,2,1,1,2,2,1.15
S2-T3-34,governance,2,1,1,2,2,1.15
S2-T3-35,governance,2,1,1,2,2,1.15
S2-T3-36,governance,2,1,1,2,2,1.15
S2-T3-37,governance,2,1,3,2,1,1.75
S2-T3-38,governance,2,1,3,2,1,1.75
S2-T3-39,governance,2,1,3,2,1,1.75
S2-T3-40,governance,2,1,1,2,2,1.15
S2-T3-41,governance,1,1,1,2,2,0.9
S2-T3-42,governance,2,1,1,2,2,1.15
S2-T3-43,governance,1,1,1,2,2,0.9
S2-T3-44,governance,2,1,1,2,2,1.15
S2-T3-45,governance,1,1,1,2,2,0.9
S2-T3-46,governance,2,1,3,2,1,1.75
S2-T3-47,governance,2,1,1,2,2,1.15
S2-T3-48,governance,2,1,3,2,1,1.75
S2-T3-49,governance,2,1,3,2,1,1.75
S2-T3-50,governance,2,1,3,2,1,1.75
S2-T3-51,governance,2,1,3,2,1,1.75
S2-T3-52,governance,1,1,3,2,1,1.5
S2-T3-53,governance,2,1,3,2,1,1.75
S2-T3-54,governance,2,1,1,2,2,1.15
S2-T3-55,governance,2,1,3,2,1,1.75
S2-T3-56,governance,2,1,3,2,1,1.75
S2-T3-57,governance,2,1,3,2,1,1.75
S2-T3-58,governance,1,1,3,2,1,1.5
S2-T3-59,governance,1,1,3,2,1,1.5
S2-T3-60,governance,1,1,3,2,1,1.5
S2-T3-61,governance,2,1,3,2,1,1.75
S2-T3-62,governance,2,1,3,2,1,1.75
S2-T3-63,governance,2,1,3,2,1,1.75
S2-T3-64,governance,2,1,3,2,1,1.75
S2-T3-65,governance,2,1,3,2,1,1.75
S2-T3-66,governance,2,1,3,2,1,1.75
S2-T3-67,governance,2,1,3,2,1,1.75
S2-T3-68,governance,2,1,3,2,1,1.75
S2-T3-69,governance,2,1,3,2,1,1.75
S2-T3-70,governance,2,1,1,2,2,1.15
S2-T3-71,governance,1,1,1,2,2,0.9
S2-T3-72,governance,2,1,1,2,2,1.15
S2-T3-73,governance,1,1,3,2,1,1.5
S2-T3-74,governance,2,1,3,2,1,1.75
S2-T3-75,governance,2,1,3,2,1,1.75
S2-T3-76,governance,2,1,3,2,1,1.75
S2-T3-77,governance,1,1,3,2,1,1.5
S2-T3-78,governance,1,1,3,2,1,1.5
S2-T3-79,governance,1,1,1,2,2,0.9
S2-T3-80,governance,2,1,3,2,1,1.75
S2-T3-81,governance,2,1,3,2,1,1.75
S2-T3-82,governance,1,1,3,2,1,1.5
S2-T3-83,governance,1,1,1,2,2,0.9
S2-T3-84,governance,1,1,1,2,2,0.9
S2-T3-85,governance,2,1,1,2,2,1.15
S2-T3-86,governance,2,1,3,2,1,1.75
S2-T3-87,governance,2,1,3,2,1,1.75
S2-T3-88,governance,2,1,3,2,1,1.75
S2-T3-89,governance,2,1,3,2,1,1.75
S2-T3-90,governance,2,1,1,2,2,1.15
S2-T3-91,governance,2,1,1,2,2,1.15
S2-T3-92,governance,2,1,1,2,2,1.15
S2-T3-93,governance,2,1,1,2,2,1.15
S2-T3-94,governance,2,1,1,2,2,1.15
S2-T3-95,governance,2,1,1,2,2,1.15
S2-T3-96,governance,2,1,3,2,1,1.75
S2-T3-97,governance,2,1,3,2,1,1.75
S2-T3-98,governance,2,1,3,2,1,1.75
S2-T3-99,governance,2,1,3,2,1,1.75
S2-T3-100,governance,1,1,3,2,1,1.5
T-EGM-001,technical,3,3,2,3,1,2.35
T-EGM-002,technical,3,2,2,2,2,1.85
T-EGM-003,technical,3,2,2,2,2,1.85
T-EGM-004,technical,3,3,2,3,2,2.25
T-EGM-005,technical,3,3,2,3,2,2.25
T-EGM-006,technical,3,3,2,3,1,2.35
T-EGM-007,technical,3,3,2,3,1,2.35
T-EGM-008,technical,3,3,2,3,2,2.25
T-EGM-009,technical,3,3,2,3,2,2.25
T-EGM-010,technical,2,3,2,3,2,2.0
T-EGM-011,technical,3,2,2,2,2,1.85
T-EGM-012,technical,3,3,2,3,2,2.25
T-EGM-013,technical,3,3,2,3,2,2.25
T-EGM-014,technical,3,3,2,3,2,2.25
T-EGM-015,technical,3,3,2,3,2,2.25
T-EGM-016,technical,3,2,2,2,2,1.85
T-EGM-017,technical,2,3,2,2,2,1.8
T-EGM-018,technical,3,2,2,2,2,1.85
T-EGM-019,technical,3,3,2,3,2,2.25
T-EGM-020,technical,3,3,2,2,2,2.05
T-EGM-021,technical,3,3,2,3,2,2.25
T-EGM-022,technical,3,3,2,3,2,2.25
T-EGM-023,technical,2,3,2,3,2,2.0
T-EGM-024,technical,3,2,2,2,2,1.85
T-EGM-025,technical,3,2,2,2,2,1.85
T-EGM-026,technical,3,3,2,3,2,2.25
T-EGM-027,technical,3,3,2,2,2,2.05
T-EGM-028,technical,3,3,2,3,2,2.25
T-EGM-029,technical,3,3,2,3,2,2.25
T-EGM-030,technical,3,3,2,2,2,2.05
T-EGM-031,technical,3,2,2,2,2,1.85
T-EGM-032,technical,2,3,2,2,2,1.8
T-EGM-033,technical,3,3,2,3,2,2.25
T-EGM-034,technical,3,3,2,3,2,2.25
T-EGM-035,technical,3,3,2,3,2,2.25
T-EGM-036,technical,3,3,2,3,2,2.25
T-EGM-037,technical,3,3,2,3,2,2.25
T-EGM-038,technical,3,3,2,3,2,2.25
T-EGM-039,technical,3,3,2,3,2,2.25
T-EGM-040,technical,3,3,2,3,2,2.25
T-EGM-041,technical,3,3,2,3,2,2.25
T-EGM-042,technical,3,2,2,2,2,1.85
T-EGM-043,technical,3,3,2,3,2,2.25
T-EGM-044,technical,3,3,2,3,2,2.25
T-EGM-045,technical,3,3,2,3,2,2.25
